epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,965.717,1.55155,2.22839,1.62381,0.69798,0.66695,0.69623,0.42113,1.28184,1.02257,1.71439,0.00333212,0.00333212,0.00333212
2,1907.91,1.55005,1.60144,1.59647,0.71688,0.69831,0.71139,0.46461,1.14964,0.79111,1.58142,0.00659946,0.00659946,0.00659946
3,2827.37,1.61487,1.57074,1.65466,0.71532,0.6779,0.69764,0.43697,1.20505,0.86636,1.65484,0.00980081,0.00980081,0.00980081
4,3732.97,1.60126,1.53248,1.65387,0.71288,0.70345,0.71626,0.4878,1.08191,0.70709,1.54126,0.009703,0.009703,0.009703
5,981.335,1.53527,1.42066,1.60481,0.75202,0.73165,0.74461,0.52192,0.97704,0.63395,1.41656,0.009604,0.009604,0.009604
6,1992.93,1.49705,1.3666,1.56963,0.75535,0.75415,0.76143,0.54382,0.94098,0.6,1.37197,0.009505,0.009505,0.009505
7,3092.41,1.46597,1.31873,1.54537,0.77181,0.74451,0.76044,0.54966,0.91726,0.57393,1.34552,0.009406,0.009406,0.009406
8,4183.28,1.4414,1.28147,1.52362,0.78009,0.76758,0.7856,0.5746,0.88456,0.5412,1.31422,0.009307,0.009307,0.009307
9,5210.56,1.43015,1.26525,1.51421,0.78574,0.77577,0.79366,0.58254,0.861,0.52135,1.28283,0.009208,0.009208,0.009208
10,924.135,1.4062,1.22857,1.49756,0.78615,0.77849,0.79137,0.58336,0.85511,0.51504,1.28181,0.009109,0.009109,0.009109
11,1821.23,1.40078,1.22175,1.49023,0.79241,0.7877,0.80536,0.59958,0.82756,0.49692,1.25093,0.00901,0.00901,0.00901
12,2709.25,1.38676,1.20068,1.47935,0.80133,0.79123,0.81449,0.60567,0.82407,0.48219,1.24657,0.008911,0.008911,0.008911
13,3593.13,1.37142,1.18592,1.46958,0.81224,0.78696,0.81496,0.60781,0.81201,0.47744,1.23396,0.008812,0.008812,0.008812
14,4491.7,1.37015,1.1755,1.46629,0.80008,0.79325,0.81598,0.6109,0.80113,0.47124,1.22277,0.008713,0.008713,0.008713
15,5398.65,1.36122,1.17106,1.46439,0.81053,0.79856,0.82325,0.61681,0.79438,0.46301,1.216,0.008614,0.008614,0.008614
16,6317.84,1.35802,1.16142,1.45943,0.80747,0.80513,0.8269,0.62075,0.78728,0.45972,1.20982,0.008515,0.008515,0.008515
17,7201.26,1.36,1.15222,1.45383,0.81545,0.81395,0.83243,0.62529,0.78351,0.45274,1.20559,0.008416,0.008416,0.008416
18,8084.55,1.34628,1.1433,1.44683,0.81613,0.81494,0.83301,0.62816,0.77627,0.44743,1.19844,0.008317,0.008317,0.008317
